167,99
52,95
23,156
106,111
67,69
155,136
128,1
26,35
0,67
159,49
19,0
74,13
144,142
25,157
113,83
156,160
81,145
59,38
69,163
71,45
15,152
45,165
143,56
140,58
42,144
133,121
126,48
31,85
127,71
80,122
56,64
47,124
39,59
129,146
44,7
147,115
35,92
121,96
11,91
5,162
55,57
12,110
63,81
102,141
75,22
125,29
33,4
130,98
139,17
168,108
14,148
60,82
36,161
91,117
153,5
83,68
86,65
93,104
40,151
51,60
157,116
90,109
84,80
137,118
22,94
115,167
165,42
2,128
9,41
49,127
158,66
72,168
122,47
57,137
29,153
58,62
1,12
109,90
87,32
68,169
8,101
