29,4694
42,326
105,4695
161,4596
174,7447
348,3113
374,5631
406,3281
463,2882
555,6609
559,4441
566,10321
588,855
613,9244
633,2613
680,10346
712,3054
716,6318
738,9235
779,5443
868,7041
874,4718
900,4969
931,1253
1022,9162
1071,197
1077,11238
1091,5020
1164,8217
1233,4887
1502,957
1579,4877
1592,91
1651,5958
1712,3382
1846,9682
1866,9953
1871,2968
1925,2048
1947,6
1970,8084
2054,2465
2065,2914
2067,5587
2100,834
2110,7115
2147,2054
2203,7017
2205,10761
2224,5674
2232,4491
2331,5350
2332,9366
2360,80
2513,4169
2534,5517
2539,7310
2637,6639
2670,7804
2729,1034
2748,1561
2894,1726
2895,11207
2901,2868
3013,3682
3019,4269
3054,1163
3171,11257
3230,10436
3264,2981
3335,10212
3341,8200
3360,2349
3410,3055
3486,7338
3510,4614
3534,6238
3543,46
3557,1654
3564,7698
3574,9393
3578,2323
3582,7815
3596,1992
3734,6043
3778,6637
3862,8833
3881,10921
3902,1178
3970,3496
4143,1473
4162,8270
4218,2293
4227,5500
4263,5262
4304,7901
4344,1975
4387,3013
4395,10408
4407,11297
4438,6712
4488,6536
4496,6547
4539,5023
4611,8699
4660,4295
4782,10312
4830,2209
4876,1258
4942,1087
4946,9888
4998,5138
5005,5403
5103,502
5181,619
5189,10435
5304,368
5307,3125
5595,2581
5642,7979
5669,8554
5702,3873
5731,1757
5772,10591
5859,10066
5940,10381
5959,8933
6027,8493
6058,9909
6146,3396
6156,10032
6231,9104
6242,5373
6251,9939
6295,2090
6398,11215
6427,2135
6458,2226
6466,8311
6571,6672
6649,11205
6655,11010
6722,5578
6732,7126
6764,8164
6772,10938
6782,3665
6818,3725
6836,9808
6997,3277
7002,6293
7007,10911
7024,5967
7090,1977
7173,7363
7178,3141
7365,10507
7389,10547
7411,532
7418,347
7461,10932
7462,5811
7473,3317
7530,4693
7566,4808
7631,2582
7648,9307
7660,8861
7666,7631
7742,10134
7794,6489
7820,4843
7897,5464
7932,462
7969,2289
8026,5802
8043,9382
8087,4391
8128,5151
8134,3082
8169,9896
8174,8898
8229,4479
8234,2395
8278,336
8328,3399
8391,9149
8417,1307
8466,6798
8493,5723
8510,2304
8522,10604
8567,7548
8593,7383
8670,6113
8717,2032
8754,6763
8825,7620
8932,9374
9050,8971
9194,9510
9197,10377
9207,851
9220,40
9255,3566
9289,9153
9297,176
9320,9279
9341,5825
9443,8892
9470,2181
9475,3550
9550,9975
9640,1830
9683,2176
9685,4795
9747,5192
9758,221
9767,2752
9786,9442
9830,5089
9848,3271
9911,11069
9918,3182
9962,3734
10087,5527
10107,10876
10114,10480
10141,339
10166,7225
10181,10404
10260,5344
10307,7575
10352,5153
10360,607
10377,10285
10379,3440
10385,558
10386,8430
10450,9303
10455,10671
10662,6399
10772,3030
10827,7103
10835,9469
10848,9060
10865,2110
10869,749
10947,7259
10952,1049
10974,8917
11204,8025
11209,251
11228,9013
11243,10450
11288,9647
11301,701
11311,10568
