37,46
66,7
120,31
84,3
101,94
100,162
38,43
63,93
42,114
124,2
149,97
144,23
164,168
131,12
109,148
36,64
92,96
25,63
159,110
129,9
82,163
76,108
74,119
162,52
81,4
16,5
102,105
150,86
118,137
26,79
123,135
24,58
59,16
152,37
72,136
97,68
18,85
61,92
43,122
54,169
8,146
15,45
128,65
138,157
17,150
64,106
47,8
90,99
122,69
146,88
167,1
27,111
19,70
140,91
70,67
113,129
44,0
93,83
145,143
35,80
99,152
108,19
9,40
41,126
166,15
112,100
155,11
117,42
30,132
94,89
169,166
89,35
106,56
73,161
68,124
168,17
80,118
110,21
139,102
103,38
20,36
