0,118
1,24
2,50
3,7
4,35
5,139
6,43
7,107
8,125
9,144
10,5
11,60
13,21
14,27
15,130
16,32
17,11
18,153
19,123
22,2
23,88
24,48
25,16
27,4
28,68
29,23
31,61
32,72
36,127
37,30
38,168
40,53
42,106
47,138
49,124
51,86
52,80
53,135
54,117
56,128
57,29
60,71
63,113
66,49
67,158
68,122
69,73
71,1
72,57
73,108
75,162
76,33
78,142
79,8
80,38
81,121
85,62
86,160
89,91
90,82
91,110
92,136
94,109
96,10
99,114
100,14
104,40
105,18
106,51
107,76
108,133
109,25
112,9
113,164
114,26
116,99
117,17
118,132
121,97
122,140
123,151
124,0
125,15
128,34
131,105
132,120
133,28
135,83
136,19
139,36
142,22
144,46
151,103
153,79
154,56
155,112
156,13
157,95
159,70
161,161
164,3
166,37
168,6
